"","X","sex","age","desexed","purebred","gaze_follow","training_score","aggression_score","fear_score","separation_score","excitability_score","attachment_score","miscellaneous_score","ostensive","ostensive_binary","nonostensive","nonostensive_binary","os_best"
"22",22,1,10.9,1,1,4,2.75,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.75,1,0.625,1,0
"23",23,1,7,1,1,3,2.85714285714286,0.19047619047619,0.235294117647059,0,1.8,2,0.961538461538462,0.5,0,0.625,1,1
"24",24,1,7.8,1,1,3,2.42857142857143,0.347826086956522,0.5625,0,1.8,2.16666666666667,0.884615384615385,0.5,0,0.375,0,0
"25",25,1,3.9,1,1,4,2.25,0.269230769230769,0.944444444444444,0.75,2.83333333333333,2.33333333333333,1.25925925925926,0.5,0,0.5,0,0
"26",26,2,1.5,2,1,3,2.71428571428571,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.375,0,0.75,1,1
"27",27,1,1.1,1,1,3,2.71428571428571,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.375,0,0.5,0,1
"28",28,1,2.1,1,1,1,2.5,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.375,0,0.375,0,0
"29",29,2,5.6,2,1,4,2.375,0,0.571428571428571,0.25,2,2.0123580494322,3,0.25,0,0.5,0,1
"30",30,1,1.5,1,1,3,2.71428571428571,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.75,1,0.375,0,0
"31",31,2,2.8,1,1,4,2,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.375,0,0.5,0,1
"32",32,1,1.5,1,1,3,2.57142857142857,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.375,0,0.625,1,1
"33",33,1,4.7,2,1,3,3.125,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.5,0,0.5,0,0
"34",34,2,2.8,1,1,3,2,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"35",35,1,2.7,1,1,1,1.625,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0,0,0
"36",36,1,5.4,1,1,3,2.625,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.5,0,0.5,0,0
"37",37,1,6.3,1,2,3,2.14285714285714,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.5,0,0.5,0,0
"38",38,1,2.1,1,2,2,2.375,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.375,0,0.25,0,0
"39",39,2,3.2,2,1,4,2.375,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"40",40,1,7.8,1,1,4,2.75,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"41",41,1,4.4,1,2,4,2,1.07692307692308,0.666666666666667,0.5,2.16666666666667,1.83333333333333,0.740740740740741,0.25,0,0,0,0
"42",42,1,4.7,1,2,3,2.125,1.15384615384615,0.222222222222222,0,2.5,2.33333333333333,1.2962962962963,0.375,0,0.625,1,1
"43",43,2,1.1,1,1,3,2.5,0.0909090909090909,0.166666666666667,0.25,2.66666666666667,1.83333333333333,0.846153846153846,0.5,0,0.5,0,0
"44",44,2,3.2,1,2,3,2.75,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.375,0,0.5,0,1
"45",45,2,6.7,1,1,4,2.125,0,0.722222222222222,0,0.666666666666667,1,0.296296296296296,0.5,0,0.375,0,0
"46",46,2,1.7,2,1,5,2.375,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0,0,0.504054415609776,0,0
"47",47,2,1.7,2,1,4,2.25,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.571428571428571,1,0
"48",48,1,1.3,1,1,3,2.25,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.375,0,0.333333333333333,0,0
"49",49,1,4.8,1,2,4,1.875,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"50",50,1,2,1,2,5,2.875,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"51",51,2,2.2,1,1,5,2.5,0.814814814814815,0.888888888888889,0.625,2.5,1.5,0.5,0.5,0,0.125,0,0
"52",52,2,8.9,1,1,3,2.375,0.0740740740740741,0.555555555555556,0.875,1.66666666666667,2.33333333333333,0.52,0.5,0,0.5,0,0
"53",53,2,1,1,1,2,2.5,0.272727272727273,0.529411764705882,2,1.83333333333333,2.8,1.625,0.521274190562416,0,0.504054415609776,0,0
"54",54,1,4,1,2,2,1.75,0.296296296296296,0.611111111111111,0,2.83333333333333,2.5,1.34782608695652,0.521274190562416,0,0.504054415609776,0,0
"55",55,1,7.9,1,2,3,2,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"56",56,1,6.4,1,1,3,2.5,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.5,0,0.5,0,0
"57",57,2,2.4,2,1,2,2.625,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.5,0,0.5,0,0
"58",58,2,4,2,1,4,2,0,0,1.28571428571429,2.5,0,1.41666666666667,0.5,0,0.5,0,0
"59",59,2,4,1,1,4,2.25,0.666666666666667,1.42857142857143,2,2.66666666666667,0,2.125,0.75,1,0.75,1,0
"60",60,1,4,1,1,3,2.75,0,1.16666666666667,1.4,2.33333333333333,0,0.6,0.625,1,0.625,1,0
"61",61,1,5.6,1,2,2,2.25,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.125,0,0.375,0,1
"62",62,1,4.5,1,2,4,2.75,0.296296296296296,0.333333333333333,1.75,3.5,4,2.03703703703704,0.5,0,0.75,1,1
"63",63,2,4.4,1,2,3,2.5,0,0.333333333333333,1,2.83333333333333,3.16666666666667,0.925925925925926,0.625,1,0.5,0,0
"64",64,1,6.6,1,1,3,2.375,0,0.222222222222222,0,2.33333333333333,2.5,0.68,0.625,1,0.375,0,0
"65",65,1,6.6,1,1,3,2.42857142857143,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.625,1,0.5,0,0
"66",66,2,6.6,1,2,3,2.14285714285714,0.380952380952381,1.125,0,1.16666666666667,2.16666666666667,0.62962962962963,0.375,0,0.666666666666667,1,1
"67",67,1,4,1,2,3,3,0.173913043478261,0.647058823529412,0.125,2.16666666666667,1.16666666666667,1.07407407407407,0.125,0,0.5,0,1
"68",68,1,10.4,1,1,4,2.25,0.185185185185185,0.277777777777778,0,1.5,3,0.56,0.5,0,0.5,0,0
"69",69,2,1.3,1,1,3,2.875,0,0.388888888888889,0.857142857142857,2,1.66666666666667,1.09090909090909,0.5,0,0.142857142857143,0,0
"70",70,2,1.5,1,1,4,2.875,0.259259259259259,0.166666666666667,1.125,1.16666666666667,1.83333333333333,1,0.5,0,0.4,0,0
"71",71,1,6.3,1,1,3,2.25,0.818181818181818,0.5,0.142857142857143,1.5,1.33333333333333,0.56,0.521274190562416,0,0.504054415609776,0,0
"72",72,2,2.6,1,1,4,2.125,0.230769230769231,0.764705882352941,0.5,1.83333333333333,1.16666666666667,1.08333333333333,0.875,1,0.25,0,0
"73",73,2,0.9,1,1,3,2.5,0.037037037037037,0.111111111111111,0.625,1.83333333333333,1.33333333333333,1.28,0.625,1,0.444444444444444,0,0
"74",74,1,5.9,1,2,4,3.16666666666667,0.947368421052632,0.733333333333333,1.28571428571429,0.333333333333333,1.2,0.538461538461538,0.222222222222222,0,0.5,0,1
"75",75,1,3.5,1,1,3,2.625,0.458333333333333,1.11111111111111,0.25,2,2,0.62962962962963,0.25,0,0.125,0,0
"76",76,2,1.8,1,2,4,2.85714285714286,0.521739130434783,0.5625,0.5,2,2.4,0.962962962962963,0.4,0,0,0,0
"77",77,2,2.5,1,1,3,2.125,0,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.5,0,0.545454545454545,1,1
"78",78,2,2.1,1,2,4,2.5,0.44,0.944444444444444,0.25,1,2.5,1.07407407407407,0.521274190562416,0,0.504054415609776,0,0
"79",79,2,12.1,1,2,4,2.71428571428571,0.894736842105263,1.11764705882353,0,2.5,2,0.962962962962963,0.25,0,0.5,0,1
"80",80,2,6.1,1,1,3,2.125,0.653846153846154,0.5,0,2.33333333333333,2.66666666666667,1.03846153846154,0.5,0,0.5,0,0
"81",81,1,2.3,2,2,4,2.375,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.5,0,0.555555555555556,1,1
"82",82,1,1.8,1,2,4,2.71428571428571,0.526315789473684,1,0,2.6,2,1.16,0.5,0,0.5,0,0
"83",83,1,1.9,1,2,3,2.125,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.5,0,0.5,0,0
"84",84,1,0.9,1,2,4,2.5,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.375,0,0.444444444444444,0,1
"85",85,2,3,1,2,4,2.125,0.454545454545455,1.05882352941176,1,2.33333333333333,2.83333333333333,1.11538461538462,0.521274190562416,0,0.504054415609776,0,0
"86",86,2,1.3,1,1,3,2.375,0.461538461538462,1,0.125,1.66666666666667,1.66666666666667,0.962962962962963,0.444444444444444,0,0.5,0,1
"87",87,2,2,1,1,4,2.625,0.19047619047619,0.705882352941177,0.125,1.16666666666667,2.16666666666667,1.18518518518519,0.428571428571429,0,0.504054415609776,0,0
"88",88,1,1.8,1,2,3,2.42857142857143,0.318181818181818,0.888888888888889,0.125,0.666666666666667,1.66666666666667,0.923076923076923,0.5,0,0.555555555555556,1,1
"89",89,2,4,1,2,3,2.85714285714286,0.0909090909090909,0.611111111111111,0,1.66666666666667,1.25,0.555555555555556,0.25,0,0.504054415609776,0,0
"90",90,1,4.5,1,2,3,2.875,0.0869565217391304,0.5,0,2.33333333333333,1.5,0.615384615384615,0.625,1,0.25,0,0
"91",91,2,2.5,1,2,3,2.5,0.363636363636364,0.588235294117647,0.75,2.83333333333333,2.5,1.40740740740741,0.5,0,0.555555555555556,1,1
"92",92,1,3.9,1,2,2,2.25,0.260869565217391,1.16666666666667,0,1.4,2.33333333333333,0.461538461538462,0.521274190562416,0,0.504054415609776,0,0
"93",93,1,7.9,1,2,4,2.625,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.375,0,0.375,0,0
"94",94,1,3.9,2,2,3,2.57142857142857,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.625,1,0.504054415609776,0,0
"95",95,1,3.9,1,2,2,2.25,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.5,0,0.25,0,0
"96",96,1,3.9,1,2,3,2.33333333333333,0.52,1.17647058823529,1.25,1.6,2.16666666666667,1.58333333333333,0.375,0,0.625,1,1
"97",97,1,3.9,1,2,4,2.375,0.307692307692308,0.470588235294118,0.75,2.4,2,1.42307692307692,0.75,1,0.142857142857143,0,0
"98",98,1,3.9,1,2,4,2.25,0.227272727272727,0.388888888888889,0.25,2,2.66666666666667,1.14814814814815,0.5,0,0.75,1,1
"99",99,2,3.9,1,2,4,2.5,0.869565217391304,1.33333333333333,1.375,2.4,2.16666666666667,1.18518518518519,0.521274190562416,0,0.504054415609776,0,0
"100",100,1,3.9,1,2,2,2.5,0.130434782608696,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.444444444444444,0,0.25,0,0
"101",101,2,3.9,1,1,2,2.625,0.923076923076923,0.588235294117647,0,3.5,1.83333333333333,0.962962962962963,0.5,0,0.375,0,0
"102",102,2,3.9,1,1,3,1.75,1.03703703703704,0.277777777777778,0,2.6,1.66666666666667,0.851851851851852,0.4,0,0,0,0
"103",103,2,3.9,1,1,3,2,0.777777777777778,0.444444444444444,0,2.4,1.16666666666667,0.703703703703704,0.5,0,0.625,1,1
"104",104,1,3.9,1,2,3,2.125,0.851851851851852,1,0.125,2.8,1.8,1,0.625,1,0.625,1,0
"105",105,2,1.9,2,1,3,2.45130662020906,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.8,1,0
"106",106,2,3.9,1,1,4,2,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"107",107,2,3.9,1,2,3,2.5,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.2,0,0
"108",108,1,3.9,1,1,4,2.625,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.625,1,0.25,0,0
"109",109,1,3.9,1,2,3,2.875,0.444444444444444,1.11111111111111,0.25,1.6,2,0.962962962962963,0.5,0,0.75,1,1
"110",110,2,5.9,1,2,4,2.125,0.56,1.72222222222222,0,1,0.833333333333333,0.666666666666667,0.125,0,0.375,0,1
"111",111,2,3.9,1,2,3,2.71428571428571,0.2,0.142857142857143,0.142857142857143,1.6,1.83333333333333,1.22222222222222,0.5,0,0.5,0,0
"112",112,2,3.9,1,1,3,2.875,0.478260869565217,0.117647058823529,0,2.6,2.33333333333333,1.03703703703704,0.75,1,1,1,1
"113",113,1,6.2,1,2,3,2.45130662020906,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.75,1,0
"114",114,2,6.1,1,2,3,2.75,0.916666666666667,1.13333333333333,1,2.2,3.16666666666667,0.769230769230769,0.521274190562416,0,0.504054415609776,0,0
"115",115,1,0.5,2,2,4,2.375,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"116",116,2,1.2,2,1,3,2.25,0.0434782608695652,1.05555555555556,1.5,2.8,1.83333333333333,1.08695652173913,0.5,0,0.625,1,1
"117",117,2,4.2,1,2,3,2.5,0,1.41176470588235,0,1.8,3.5,0.62962962962963,0.777777777777778,1,0.75,1,0
"118",118,2,4.4,1,2,3,2.42857142857143,0.32,0.888888888888889,0.125,2.4,1.83333333333333,1.40740740740741,0.625,1,0.375,0,0
"119",119,1,4.1,1,2,3,2.85714285714286,1.04,1.22222222222222,0.25,2.2,3,1.07407407407407,0.625,1,0.375,0,0
"120",120,2,3.3,1,2,3,2.375,0.55,0.294117647058824,1,1.6,2.66666666666667,0.846153846153846,0.521274190562416,0,0,0,0
"121",121,2,4.9,1,1,3,2.5,0.260869565217391,0.722222222222222,0.875,3,3.4,1.37037037037037,0.5,0,0.5,0,0
"122",122,1,3.9,1,2,4,2.14285714285714,0.863636363636364,2.23529411764706,0.125,2.8,1.66666666666667,0.888888888888889,0.75,1,0.25,0,0
"123",123,2,4.5,2,1,4,2.375,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"124",124,2,3.5,1,2,3,2,0.458333333333333,0.466666666666667,0.125,1.16666666666667,1,0.444444444444444,0.5,0,0.5,0,0
"125",125,1,2.6,1,2,4,2,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.375,0,0.5,0,1
"126",126,2,3.5,1,2,5,2.625,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.625,1,0.75,1,1
"127",127,1,1.6,1,2,3,2.375,0.590909090909091,0.647058823529412,1.42857142857143,3.16666666666667,2.16666666666667,1.16666666666667,0.75,1,0.666666666666667,1,0
"128",128,1,3.5,1,2,1,2.16666666666667,0.217391304347826,0.529411764705882,0,1.83333333333333,1.16666666666667,0.592592592592593,0.521274190562416,0,0.504054415609776,0,0
"129",129,2,1.2,1,2,3,2.25,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"130",130,1,1.4,1,2,4,2.375,0.173913043478261,0.277777777777778,0.25,1.4,1.83333333333333,0.814814814814815,0.75,1,0.75,1,0
"131",131,2,1.3,1,1,3,2.375,0.619047619047619,0.5,1.125,2.5,2.33333333333333,1.38461538461538,0.5,0,0.5,0,0
"132",132,1,11,1,2,3,2.14285714285714,0.409090909090909,0.75,0.25,1.83333333333333,1.16666666666667,1.11538461538462,0.625,1,0.5,0,0
"133",133,2,6.9,1,2,3,2,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.375,0,0.5,0,1
"134",134,1,9.3,1,1,4,2.5,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"135",135,2,2.2,1,2,3,2.625,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0,0,0.504054415609776,0,0
"136",136,1,7.8,1,1,4,2,0.5,0.888888888888889,1.5,2.5,1.83333333333333,0.814814814814815,0.5,0,0.5,0,0
"137",137,2,1.9,2,2,3,2.375,0.0869565217391304,0.666666666666667,1,2.4,2.33333333333333,1.16666666666667,0.5,0,0.625,1,1
"138",138,2,5.7,1,2,3,2.625,0,0.944444444444444,0.5,2.33333333333333,2.33333333333333,0.555555555555556,0.5,0,0.5,0,0
"139",139,1,1.3,1,1,3,2.71428571428571,0.565217391304348,0.823529411764706,1,2.33333333333333,3.16666666666667,1.88461538461538,0.375,0,0.5,0,1
"140",140,2,5,1,2,5,2.375,0,1.38888888888889,1.25,3.16666666666667,2.83333333333333,1.22222222222222,0.375,0,0.5,0,1
"141",141,2,1.6,1,2,2,2.5,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.75,1,0.444444444444444,0,0
"142",142,2,0.7,2,2,3,2.125,0.173913043478261,0.611111111111111,1.125,1.5,1.2,1.5,0.333333333333333,0,0.75,1,1
"143",143,2,5.9,1,2,5,2.625,0.565217391304348,0.777777777777778,0.5,1.83333333333333,2,0.481481481481481,0.625,1,0.75,1,1
"144",144,2,2.5,1,2,3,2.57142857142857,0.269230769230769,1.41176470588235,0.5,2,1,0.846153846153846,0.25,0,0.75,1,1
"145",145,1,0.9,1,2,4,2.5,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.5,0,0.5,0,0
"146",146,1,6.1,1,1,3,2.66666666666667,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"147",147,1,6.3,1,1,2,1.75,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"148",148,2,9.9,1,2,2,1.375,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.444444444444444,0,0.428571428571429,0,0
"149",149,1,7.9,1,1,3,2.5,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.75,1,0.625,1,0
"150",150,1,2.1,1,1,3,2.375,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"151",151,2,6.3,1,1,3,2.375,0.142857142857143,0.882352941176471,0,3.16666666666667,2.83333333333333,0.962962962962963,0.625,1,0.5,0,0
"152",152,1,7.1,1,1,5,2.625,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.5,0,0.875,1,1
"153",153,2,10.2,1,2,4,2.5,0.555555555555556,1,0.625,1.5,2.83333333333333,0.814814814814815,0.521274190562416,0,0.504054415609776,0,0
"154",154,1,11.8,1,2,4,2.75,0.409090909090909,0.588235294117647,0,2.8,1.83333333333333,0.814814814814815,0.375,0,0.625,1,1
"155",155,2,7.7,1,2,4,2,1.08695652173913,1.5,1.75,2.16666666666667,2.83333333333333,1.07407407407407,0.4,0,0.285714285714286,0,0
"156",156,2,5.8,1,2,4,2.25,0.296296296296296,0.444444444444444,1,2.83333333333333,1.33333333333333,1.07407407407407,0.666666666666667,1,0.504054415609776,0,0
"157",157,1,3,1,2,5,2.375,0.384615384615385,0.117647058823529,0.625,3.16666666666667,3.16666666666667,1.24,0.521274190562416,0,0.504054415609776,0,0
"158",158,1,4.4,1,2,3,3,0.666666666666667,0.8,0,2.5,1.25,1,0.875,1,0.625,1,0
"159",159,1,9.7,1,2,2,2.375,0.37037037037037,0.333333333333333,0,2,2.16666666666667,0.962962962962963,0.521274190562416,0,0.504054415609776,0,0
"160",160,2,3.4,1,2,3,2.57142857142857,0.0416666666666667,0.470588235294118,1.125,2.33333333333333,0.666666666666667,1.59259259259259,0.875,1,0.75,1,0
"161",161,2,4.8,1,1,2,2.57142857142857,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.5,0,0.25,0,0
"162",162,1,7.7,1,1,4,2.5,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.285714285714286,0,0.5,0,1
"163",163,2,8.8,1,2,4,2.125,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.625,1,0.5,0,0
"164",164,2,8.2,1,1,4,2.625,0.346153846153846,0.222222222222222,0,1.33333333333333,0.833333333333333,0.37037037037037,0.5,0,0.5,0,0
"165",165,2,7.8,1,1,3,2.5,0,0.5,0,0.833333333333333,0.8,0.555555555555556,0.75,1,0.75,1,0
"166",166,1,3.1,1,1,4,3.25,0.565217391304348,1.29411764705882,0.125,2.83333333333333,2.16666666666667,1,0.375,0,0.375,0,0
"167",167,2,4.8,1,1,3,2,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"168",168,1,4.2,1,1,2,2,0.259259259259259,0.277777777777778,0.125,1.8,1.5,1.03703703703704,0.625,1,0.504054415609776,0,0
"169",169,2,3.2,1,1,4,2.75,1.18518518518519,0.222222222222222,1.5,2,3.5,1.26315789473684,0.75,1,0.75,1,0
"170",170,2,7.5,1,1,3,2.625,0.173913043478261,0.722222222222222,0.5,1.5,2,1,0.5,0,0.5,0,0
"171",171,1,3.3,1,2,3,2.125,0.19047619047619,1.29411764705882,0.125,2.6,1.66666666666667,1.14814814814815,0.5,0,0.5,0,0
"172",172,2,0.5,1,2,2,2.42857142857143,1.70588235294118,1.64705882352941,0.75,3.8,2.8,1.52173913043478,0.5,0,0.5,0,0
"173",173,2,1.7,1,2,2,3.25,1.11111111111111,1,0.75,3,4,1.68,1,1,0.625,1,0
"174",174,2,7.2,1,2,3,1.875,0.307692307692308,0.588235294117647,0.25,2.00726666666667,2.0123580494322,0.904044447615272,0.521274190562416,0,0.504054415609776,0,0
"175",175,2,1.4,1,1,4,2.5,0.181818181818182,0.5,1.125,2.2,2.6,1.46153846153846,0.125,0,0.5,0,1
"176",176,2,5.5,1,1,3,2.375,0.222222222222222,0.5,0,1.8,3,0.740740740740741,0.5,0,0.714285714285714,1,1
"177",177,1,1.8,1,1,4,2.375,0.62962962962963,0.777777777777778,1.83333333333333,3,3,1.84615384615385,0.375,0,0.375,0,0
"178",178,1,4.7,1,1,4,2,0.423076923076923,0.333333333333333,0.125,1.25,1.5,0.875,0.521274190562416,0,0.504054415609776,0,0
"179",179,1,3.2,1,2,3,2.5,0.0869565217391304,0.5,0,2.4,2.4,0.730769230769231,0.625,1,0.375,0,0
"180",180,1,2.3,1,1,4,2.75,0.423076923076923,0.375,0.428571428571429,2.6,2.6,1.42105263157895,0.521274190562416,0,0.504054415609776,0,0
